name,education,awards
James D. Foley,"['University of Michigan', 'Lehigh University']","['IEEE', 'ACM Fellow', 'AAAS Fellow', 'NAE', 'SIGGRAPH', 'Steven A. Coons Award']"
Ken Forbus,['Massachusetts Institute of Technology'],[]
L. R. Ford Jr.,[],[]
Lance Fortnow,"['Cornell University', 'Massachusetts Institute of Technology']","['ACM Fellow', 'NSF', 'Fulbright Scholar', 'Nerode Prize']"
Mahmoud Samir Fayed,"['Menoufia University', 'King Saud University']",[]
Martin Fowler,['University College London'],[]
Robert France,"['University of the West Indies', 'Trinidad and Tobago', 'Massey University', 'New Zealand']",['Dahl–Nygaard Prize']
Herbert W. Franke,[],[]
Edward Fredkin,['California Institute of Technology'],['Dickson Prize in Science']
Yoav Freund,"['The Hebrew University of Jerusalem', 'University of California, Santa Cruz']",['Gödel prize']
Daniel P. Friedman,['University of Houston'],[]
Charlotte Froese Fischer,"['University of British Columbia', 'University of Cambridge']","['Sloan Research Fellowship', 'Fellow of the American Physical Society', 'Royal Physiographic Society in Lund', 'Lithuanian Academy of Sciences', 'Malmö University', 'Fellow of the Royal Society of Canada', 'Western University']"
Ping Fu,"['University of California, San Diego', 'University of Illinois at Urbana-Champaign', 'University of California, San Diego']",[]
Xiaoming Fu,[],[]
Kunihiko Fukushima,['Kyoto University'],[]
D. R. Fulkerson,"['Southern Illinois University', 'University of Wisconsin–Madison']","['Lester R. Ford Award', 'the Mathematical Association of America']"
Richard P. Gabriel,"['Northeastern University', 'Massachusetts Institute of Technology', 'University of Illinois', 'Stanford University', 'Warren Wilson College']","['Association for Computing Machinery', 'Allen Newell']"
Zvi Galil,"['Tel Aviv University', 'Cornell University']","['ACM Fellow', 'NAE', 'American Academy of Arts and Sciences']"
Bernard Galler,"['University of Chicago', 'University of California, Los Angeles']",[]
Héctor García-Molina,"['Monterrey Institute of Technology and Higher Education', 'Stanford University']",['SIGMOD Edgar F. Codd Innovations Award']
Michael Garey,['University of Wisconsin–Madison'],[]
Hugo de Garis,[],[]
Bill Gates,['Harvard University'],"['Knight Commander of the Order of the British Empire', 'Padma Bhushan', 'Presidential Medal of Freedom', 'Hilal-e-Pakistan']"
David Gelernter,"['Yale University', 'State University of New York at Stony Brook']",['National Council on the Arts']
Lisa Gelobter,['Brown University'],[]
Charles Geschke,"['Xavier University', 'AB', 'Carnegie Mellon University']","['AeA Medal of Achievement', 'National Medal of Technology and Innovation', 'Marconi Prize']"
Zoubin Ghahramani,"['University of Pennsylvania', 'Massachusetts Institute of Technology']",['FRS']
Sanjay Ghemawat,"['Cornell University', 'MIT']",['ACM Prize in Computing']
Jeremy Gibbons,"['University of Edinburgh', 'University of Oxford']",[]
Juan E. Gilbert,"['Miami University', 'University of Cincinnati']",[]
Lee Giles,"['Rhodes College', 'University of Tennessee', 'University of Michigan', 'University of Arizona']","['ACM Fellow', 'IEEE Fellow', 'INNS Fellow', 'IBM Distinguished Faculty Award', 'INNS Gabor Award', 'IEEE Computational Intelligence Society (CIS) Neural Networks Pioneer Award', 'National Federation of Advanced Information Services (NFAIS) Miles Conrad Award', 'Eagle Scout']"
Seymour Ginsburg,"['City College of New York', 'University of Michigan']",[]
Robert L. Glass,[],[]
Kurt Gödel,['University of Vienna'],"['Albert Einstein Award', 'ForMemRS', 'National Medal of Science']"
Ashok Goel,['Ohio State University'],"['AAAI Fellow', 'Cognitive Science Society']"
Joseph Goguen,"['Harvard University', 'University of California, Berkeley']",[]
E. Mark Gold,[],[]
Adele Goldberg,"['University of Michigan', 'University of Chicago']",[]
Andrew V. Goldberg,"['Massachusetts Institute of Technology', 'University of California, Berkeley']",['ACM Fellow']
Ian Goldberg,"['University of California, Berkeley', 'University of Waterloo']",[]
Judy Goldsmith,[],[]
Oded Goldreich,"['Technion', 'Weizmann Institute']",['Knuth Prize']
Shafi Goldwasser,"['Carnegie Mellon University', 'University of California, Berkeley']","['Grace Murray Hopper Award', 'Gödel Prize', 'Member of the National Academy of Sciences', 'IEEE Emanuel R. Piore Award', 'BBVA Award', 'RSA Mathematics Award', 'Loreal Unesco Women in Science Award', 'Turing Award', 'Suffrage Science award', 'ACM Fellow', 'AAAS Fellow']"
Gene H. Golub,['University of Illinois at Urbana-Champaign'],[]
Martin Charles Golumbic,[],[]
Gaston Gonnet,['University of Waterloo'],[]
Ian Goodfellow,"['Stanford University', 'Université de Montréal']",[]
James Gosling,"['University of Calgary', 'Carnegie Mellon University']","['Order of Canada', 'Computer History Museum']"
Paul Graham,"['Gateway High School', 'Cornell University', 'Harvard University']",[]
Robert M. Graham,[],[]
Susan L. Graham,"['Harvard', 'Stanford']","['ACM Fellow', 'Ken Kennedy Award', 'IEEE Fellow', 'IEEE von Neumann Medal', 'Fellow of the AAAS']"
Jim Gray,"['University of California, Berkeley']","['Turing Award', 'IEEE Computer Society Charles Babbage Award']"
Sheila Greibach,"['Radcliffe College', 'Harvard University']",[]
David Gries,"['Queens College, City University of New York', 'University of Illinois Urbana-Champaign', 'Technical University of Munich', 'Dr']","['AFIPS', 'ACM', 'SIGCSE', 'IEEE Computer Society', 'Taylor L. Booth Education Award']"
Robert Griesemer,[],[]
Ralph Griswold,[],[]
Bill Gropp,['Stanford University'],"['Sidney Fernbach Award', 'Ken Kennedy Award']"
Tom Gruber,[],[]
Shelia Guberman,[],[]
Ramanathan V. Guha,"['Indian Institute of Technology Madras', 'University of California, Berkeley', 'Stanford University']",[]
